Article_no,Precsion,Recall,F1_Score
1,0.25,0.09090909090909091,0.13333333333333333
2,0.6666666666666666,0.2,0.30769230769230765
3,0.6,0.2727272727272727,0.37499999999999994
4,0.5,0.3,0.37499999999999994
5,0.3333333333333333,0.1,0.15384615384615383
